Acc_X0,Acc_Y0,Acc_Z0,Gy_X0,Gy_Y0,De_Y0,De_Y0K,Gyro_Z0,De_Z0,De_Z0K,Yaw,Yaw_k,Pitch,Pitch_K,Acc_X1,Acc_Y1,Acc_Z1,Gy_X1,Gy_Y1,De_Y1,De_Y1K,Gyro_Z1,De_Z1,De_Z1K,Yaw1,Yaw1_k,Pitch1,Pitch1_K
-9.51,1.06,-2.2,-256,5427,75.6,68.98,-7034,-12.96,5.45,-97.09,-68.93,80.73,81.22,-10.87,0.98,0.69,4491,1829,83.7,79.17,-6580,3.64,1.47,-98.76,-98.76,26.92,26.92
-9.03,0.02,-0.89,6222,4054,84.35,72.55,-5149,-5.64,2.85,-68.31,-68.31,59.77,59.79,-9.72,0.38,-0.79,3121,129,84.85,81.37,-4856,-4.64,-1.07,-72.44,-72.45,0.97,0.99
-8.77,1.52,-1.0,3373,2882,78.25,76.06,-4830,-6.44,-2.83,-63.44,-63.44,41.88,41.88,-9.72,-0.18,-0.96,2370,-278,84.27,82.16,-6157,-5.62,-2.54,-92.3,-86.79,-5.24,-3.51
-9.09,0.25,-0.45,2876,2300,86.76,80.18,-5266,-2.84,-2.99,-70.1,-70.09,32.99,33.0,-10.05,-0.95,-0.93,3295,-445,82.46,82.21,-7478,-5.28,-3.4,-112.47,-112.45,-7.79,-7.79
-9.55,1.11,-1.18,1974,957,80.35,80.3,-4154,-7.01,-4.28,-53.12,-57.84,12.49,18.19,-10.56,-1.32,-0.69,1033,-814,81.99,82.14,-9978,-3.69,-3.86,-150.64,-140.03,-13.43,-11.86
-10.54,3.92,-1.17,2963,572,68.81,77.89,-76,-5.96,-4.82,9.14,9.1,6.61,6.62,-12.95,-0.34,-0.48,2026,3222,87.41,82.9,-15215,-2.1,-4.07,-230.59,-230.53,48.19,48.15
-10.45,0.9,1.1,159,-8695,82.26,80.52,11123,6.0,1.68,180.12,180.12,-134.87,-134.87,-13.71,-3.14,-2.77,9157,11902,73.02,81.9,-21997,-11.14,-5.9,-334.13,-305.35,180.71,143.88
-11.86,1.7,-0.25,-172,-8528,81.74,80.64,9950,-1.21,1.05,162.21,162.22,-132.32,-132.32,-3.88,-9.03,-2.57,2363,-2312,22.48,75.44,-2801,-14.64,-8.0,-41.06,-41.23,-36.3,-36.19
-7.36,-0.63,0.11,-14994,-753,85.03,81.55,9087,0.86,1.46,149.03,152.7,-13.62,-46.59,-4.0,-5.6,-1.41,-709,-1635,34.72,51.65,25608,-11.53,-10.13,392.66,392.66,-25.96,-25.96
-7.9,0.9,1.44,-2774,-724,77.86,80.61,2215,10.25,3.83,44.12,44.18,-13.17,-13.19,-11.24,-4.96,-1.03,-5177,3821,65.76,65.75,29791,-4.78,-4.78,456.52,456.52,57.34,57.34
-6.6,2.56,1.72,-2134,2627,64.94,77.84,-1808,13.64,5.65,-17.3,-0.22,37.99,23.76,-10.45,-3.67,-0.71,-1475,7701,70.32,69.0,24006,-3.65,-3.44,368.2,368.2,116.57,116.57
-8.23,5.11,2.75,-618,4902,54.8,74.43,-4296,15.87,7.2,-55.29,-55.25,72.72,72.69,-10.56,-0.36,0.29,-3502,1085,87.52,76.88,6400,1.54,-0.52,99.41,99.58,15.56,15.63
-10.12,0.19,3.31,5453,5277,71.85,73.03,-6079,18.12,13.54,-82.51,-82.51,78.44,78.44,-11.06,3.88,-2.29,-14391,1368,67.84,71.22,-9362,-11.06,-7.0,-141.23,-141.23,19.89,19.89
-4.99,-3.26,-0.41,189,2333,56.63,67.14,-6832,-3.89,6.86,-94.01,-94.0,33.5,33.53,-9.04,-6.95,-4.87,-12849,3224,46.83,61.85,-10775,-23.1,-13.57,-162.8,-162.79,48.22,48.2
-8.68,0.27,-1.24,6789,4910,81.67,76.24,-7128,-8.14,-2.62,-98.52,-98.52,72.84,72.84,-9.6,-0.88,-1.71,-2533,1483,78.65,72.42,-5312,-10.09,-11.64,-79.4,-79.4,21.64,21.64
-8.68,1.38,-1.1,7542,4615,78.48,77.28,-4900,-7.14,-4.6,-64.51,-64.53,68.34,68.34,-9.99,-0.34,-1.36,3998,760,82.01,76.16,-6156,-7.75,-10.33,-92.28,-92.28,10.6,10.61
-9.0,0.48,-0.66,1519,2898,84.83,79.55,-4953,-4.17,-4.67,-65.32,-65.1,42.12,49.41,-9.99,-1.19,-1.2,1604,-378,80.4,77.36,-7346,-6.83,-9.64,-110.45,-105.4,-6.77,-1.94
-8.89,2.17,-1.69,3358,2071,72.81,78.24,-5027,-10.44,-6.13,-66.45,-66.45,29.5,29.51,-10.38,-0.89,-1.47,3243,-556,80.63,78.07,-9021,-8.01,-9.61,-136.03,-136.01,-9.49,-9.48
-10.71,2.94,-1.94,3246,162,71.82,77.16,-1067,-9.9,-6.97,-5.99,-22.79,0.35,8.45,-12.74,-1.16,-1.19,1234,3371,82.57,78.9,-10162,-5.32,-9.31,-153.45,-148.6,50.47,33.81
-11.27,1.09,2.73,-1494,-8360,75.4,76.92,9257,13.54,-3.91,151.63,151.52,-129.75,-129.67,-13.76,1.65,0.15,8937,-2623,83.14,79.66,-21079,0.62,-8.29,-320.12,-320.01,-41.05,-41.0
-11.47,0.58,0.2,2780,-8333,86.93,82.6,12035,1.02,-0.76,194.04,194.04,-129.34,-129.34,-4.94,-6.69,-2.28,2742,-48,34.97,53.27,-7993,-15.33,-12.96,-120.33,-120.33,-1.73,-1.73
-8.41,-0.03,0.21,-10157,-374,88.53,84.47,10614,1.46,0.55,172.35,172.36,-7.83,-7.91,-3.27,-4.42,-1.05,-2606,-323,35.72,35.73,23451,-10.82,-10.82,359.73,359.73,-5.93,-5.93
-6.44,-0.54,0.71,-9160,1444,82.12,83.84,2056,6.29,2.5,41.69,77.99,19.93,12.19,-9.67,-3.64,0.8,-4787,4486,68.93,58.8,32767,4.4,0.2,501.96,501.96,67.49,67.49
-7.51,3.34,2.13,807,2718,62.21,79.25,-5418,14.51,5.31,-72.42,-72.32,39.38,39.36,-12.17,-5.19,-1.08,5465,4870,66.47,62.11,32767,-4.69,-0.62,501.96,501.96,73.35,73.35
-8.37,4.94,3.16,-5810,1279,54.98,64.77,3351,17.99,12.79,61.46,61.46,17.41,17.41,-9.68,-3.55,0.33,-2629,-1179,69.77,64.47,-15334,1.82,0.93,-232.41,-28.38,-19.0,6.66
-17.47,6.89,4.19,-7042,7354,65.22,64.98,-5330,12.57,12.86,-71.07,-70.99,110.15,110.1,-17.05,-3.79,7.74,3603,493,63.19,64.2,-9833,23.9,6.04,-148.42,-148.35,6.53,6.53
-11.07,0.7,-3.33,8325,5370,72.91,67.44,-9854,-16.71,4.53,-140.14,-120.94,79.86,88.27,-10.84,-3.17,-0.93,6177,315,73.04,69.52,-5901,-4.72,-0.67,-88.39,-88.39,3.81,3.81
-8.78,-0.02,-2.02,7486,3758,77.05,69.79,-5435,-12.95,0.39,-72.68,-72.71,55.25,55.27,-9.79,1.46,-1.47,4343,-488,78.04,72.73,-4658,-8.48,-3.82,-69.41,-69.43,-8.45,-8.44
-9.56,0.44,-0.44,6737,2639,86.3,79.77,-2944,-2.62,-1.53,-34.65,-34.65,38.17,38.17,-10.18,-1.64,-0.76,4214,279,79.91,74.68,-6708,-4.22,-4.16,-100.71,-92.02,3.26,0.01
-8.79,0.63,-1.03,4608,2537,82.16,80.76,-5041,-6.67,-3.54,-66.66,-66.64,36.61,36.61,-9.9,-1.28,-1.29,3723,-103,79.61,75.74,-5829,-7.34,-5.13,-87.29,-87.3,-2.57,-2.57
