Aceleracion_X0;Aceleracion_Y0;Aceleracion_Z0;Gyro_X0;Gyro_Y0;Gyro_Z0;Temperatura1;Aceleracion_X1;Aceleracion_Y1;Aceleracion_Z1;Gyro_X1;Gyro_Y1;Gyro_Z1;Temperatura1
-4,59;0,39;-4,1;0,13;0,51;0,15;22,86;-10,9;4,43;-5,3;1,35;-0,6;-5,56;23,39
-6,78;-3,48;-5,19;-0,89;0,16;0,71;22,86;-8,85;-2,48;-6,15;-0,71;0,25;0,63;23,38
-10,08;-2,64;-6,62;0,47;-0,46;-2,39;22,84;-5,4;3,99;-2,34;-1,49;-0,1;-0,07;23,37
-8,38;-2,59;-4,9;-0,67;0,38;1,08;22,85;-10,88;-0,95;-4,02;-1,18;-1,45;0,41;23,35
-8,36;-7,07;-4,93;0,67;0,34;-0,97;22,84;-14,12;-6,82;-1,67;-1,16;-0,28;2,46;23,36
-8,23;-6,62;-5,56;0,37;0,53;0,1;22,82;-12,68;-6,01;-3,7;-0,08;1,11;1,08;23,34
-6,47;-4,21;-5,31;-0,83;-0,56;0,61;22,82;-9,03;-1,67;-5,45;-0,67;-0,1;1,11;23,34
-4,96;0,46;-4,47;0,02;0,54;-0,22;22,81;-9,85;4,74;-5,52;1,32;-0,19;-5,46;23,33
-6,5;-3,5;-5,08;-0,44;0,08;0,67;22,82;-8,69;-1,43;-5,45;-0,36;-0,01;0,9;23,32
-9,32;-3,17;-5,49;0,2;-0,37;-2,07;22,82;-2,45;5,09;-1,53;1,05;0,46;-1,42;23,32
-7,6;-3,37;-5,71;-0,06;0,07;0,89;22,81;-9,04;-3,33;-4,69;0,18;0,12;0,61;23,29
-9,96;-5,92;-3,12;0,17;-0,81;-1,45;22,8;-14,05;-1,48;-1,42;-2,49;-0,52;1,86;23,29
-7,51;-4,72;-4,31;0,11;0,11;0,1;22,79;-9,46;-1,99;-3,19;-0,06;-0,46;0,16;23,3
-7,61;-3,91;-4,15;0,01;-0,06;0,04;22,8;-9,18;-1,95;-3,02;0,01;0,1;-0,15;23,3
-7,87;-3,41;-4,11;0,15;0,09;-0,06;22,79;-9,26;-1,57;-3,14;0,07;0,07;-0,01;23,32
-7,94;-3,43;-3,96;0,08;0,06;0,03;22,77;-9,16;-1,81;-3,41;0,18;0,2;0,04;23,32
-8,06;-3,27;-4,01;0,18;0,05;-0,05;22,79;-9,19;-1,69;-3,82;0,08;0,04;0,13;23,33
-7,95;-3,14;-4,21;0,05;-0,08;-0,04;22,79;-9,2;-1,36;-4,16;-0,08;0,17;-0,06;23,34
-8,11;-2,87;-4,03;0,1;0,05;-0,02;22,82;-9,22;-1,05;-3,88;0,09;0;0,01;23,33
-8,06;-2,88;-4,19;0,09;-0,04;-0,06;22,81;-9,22;-1,02;-4,03;0,06;0,05;-0,01;23,34
